SUPPLIER_NAME,ITEM_NAME,CERTIFICATIONS
ASTronics Technology (I) Pvt Ltd,servo motor,Global Certification
KUDAMM CORPORATION,load cell,Global Certification
RITTAL INDIA PRIVATE LIMITED,infrared camera,"US, Canada, Europe"
Diagnostic Automation & Controls Pvt. Ltd.,VFD drive,"US, Canada, Europe"
Diagnostic Automation & Controls Pvt. Ltd.,temperature sensor,Global Certification
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,camera module,Global Certification
ASTronics Technology (I) Pvt Ltd,control cable,"US, Canada, Europe"
RITTAL PRIVATE LIMITED,control cable,Global Certification
Onyx Equipments  (India) Pvt. Ltd.,pneumatic actuator,"Europe, Asia"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",pneumatic actuator,"US, Canada, Europe"
KUDAMM CORPORATION,relay,"Australia, India"
PHOENIX CONTACT INDIA PVT LTD,relay,Global Certification
SICK INDIA Pvt. Ltd.,limit switch,Global Certification
SD ELECTRICAL,load cell,"Australia, India"
KUDAMM CORPORATION,solenoid valve,Global Certification
Kinco ElectricShenzhenLtd.,temperature sensor,"Australia, India"
KUDAMM CORPORATION,actuator,"Europe, Asia"
Digi-Key Electronics.,VFD drive,Global Certification
FINE TECH CONTROLS PRIVATE LIMITED,IO module,"Australia, India"
BHL POWER SYSTEM PVT LTD,infrared camera,"US, Canada, Europe"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,brush motor,"US, Canada, Europe"
Kinco ElectricShenzhenLtd.,load cell,"Australia, India"
Technovision Enterprises,stepper motor,Global Certification
RD ENERGY SOLUTIONS,pressure sensor,"Australia, India"
Technovision Enterprises,stepper controller,"Europe, Asia"
MEERA ENTERPRISES,capacitive sensor,"Australia, India"
SM Electronic Technologies Pvt. Ltd,limit switch,"Europe, Asia"
EVOKE GLOBAL,camera module,"US, Canada, Europe"
Leuze Electronics Pvt. Ltd.,voltage regulator,"Europe, Asia"
Kinco ElectricShenzhenLtd.,robotics arm,"Australia, India"
ASTronics Technology (I) Pvt Ltd,machine vision camera,Global Certification
Praja Controls & Systems Pvt Ltd,data logger,"Australia, India"
SECURITAS ENGINEERS,robotics arm,"US, Canada, Europe"
IGUS INDIA PRIVATE LIMITED,safety light curtain,"US, Canada, Europe"
RAJPRIYA INSTRUMENTS & CONTROLS,temperature controller,"Europe, Asia"
Digi-Key Electronics.,DC motor,"US, Canada, Europe"
CONDUCTIX-WAMPFLER INDIA PVT LTD,temperature controller,Global Certification
Digi-Key Electronics.,infrared camera,"Europe, Asia"
SM Electronic Technologies Pvt. Ltd,circuit breaker,Global Certification
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,load cell,Global Certification
MEERA ENTERPRISES,safety light curtain,"Australia, India"
Social Sea India Pvt Ltd,encoder,Global Certification
Onyx Equipments  (India) Pvt. Ltd.,capacitive sensor,"Europe, Asia"
KINCO SCIENTIFIC LIMITED,solenoid valve,"US, Canada, Europe"
FESTO INDIA PRIVATE LIMITED,temperature sensor,"US, Canada, Europe"
Praja Controls & Systems Pvt Ltd,stepper controller,"US, Canada, Europe"
SD ELECTRICAL,VFD drive,"US, Canada, Europe"
Diagnostic Automation & Controls Pvt. Ltd.,actuator,Global Certification
ASTronics Technology (I) Pvt Ltd,encoder,"US, Canada, Europe"
RAJPRIYA INSTRUMENTS & CONTROLS,contact sensor,"Australia, India"
BHL POWER SYSTEM PVT LTD,camera module,"Australia, India"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,camera module,"Australia, India"
MEERA ENTERPRISES,stepper motor,"Australia, India"
EVOKE GLOBAL,inductive sensor,"US, Canada, Europe"
COGNEX IRELAND LTD,temperature controller,"Europe, Asia"
Social Sea India Pvt Ltd,power cable,"US, Canada, Europe"
RITTAL PRIVATE LIMITED,pneumatic actuator,"US, Canada, Europe"
EVOKE GLOBAL,robotics arm,"US, Canada, Europe"
Praja Controls & Systems Pvt Ltd,switch,"US, Canada, Europe"
RD ENERGY SOLUTIONS,power cable,"US, Canada, Europe"
KINCO SCIENTIFIC LIMITED,gear motor,Global Certification
"ITOH DENKI CO., LTD.",pressure sensor,"Australia, India"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,thermal relay,"Australia, India"
SUGI ELECTRONICS LLP,DC motor,"Europe, Asia"
Technovision Enterprises,HMI panel,"Australia, India"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,temperature controller,"US, Canada, Europe"
SUGI ELECTRONICS LLP,actuator,"Australia, India"
ASTronics Technology (I) Pvt Ltd,light sensor,"Europe, Asia"
SM Electronic Technologies Pvt. Ltd,VFD drive,"US, Canada, Europe"
SEW EURODRIVE INDIA P LTD,contact sensor,"Europe, Asia"
FINE TECH CONTROLS PRIVATE LIMITED,load cell,"Europe, Asia"
Diagnostic Automation & Controls Pvt. Ltd.,camera module,"Australia, India"
SM Electronic Technologies Pvt. Ltd,transformer,"Europe, Asia"
RAJPRIYA INSTRUMENTS & CONTROLS,safety light curtain,"Australia, India"
KINCO SCIENTIFIC LIMITED,HMI panel,"Australia, India"
BHL POWER SYSTEM PVT LTD,capacitive sensor,"Europe, Asia"
SM Electronic Technologies Pvt. Ltd,capacitive sensor,"Europe, Asia"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",inductive sensor,"Australia, India"
PHOENIX CONTACT INDIA PVT LTD,pneumatic actuator,"Australia, India"
KINCO SCIENTIFIC LIMITED,machine vision camera,Global Certification
SUGI ELECTRONICS LLP,proximity switch,"Australia, India"
Onyx Equipments  (India) Pvt. Ltd.,camera module,"Europe, Asia"
Social Sea India Pvt Ltd,current transformer,Global Certification
Praja Controls & Systems Pvt Ltd,frequency inverter,"Europe, Asia"
iTG Software Engineering (I) Pvt. Ltd,servo motor,Global Certification
NETWORK ELECTRONICS,robotics arm,Global Certification
Technovision Enterprises,brush motor,"US, Canada, Europe"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,industrial camera,"Australia, India"
SD ELECTRICAL,capacitive sensor,"US, Canada, Europe"
CONDUCTIX-WAMPFLER INDIA PVT LTD,switch,"Europe, Asia"
EVOKE GLOBAL,infrared camera,Global Certification
SICK INDIA Pvt. Ltd.,temperature sensor,"Europe, Asia"
CONDUCTIX-WAMPFLER INDIA PVT LTD,HMI panel,"US, Canada, Europe"
RD ENERGY SOLUTIONS,industrial camera,"Australia, India"
FESTO INDIA PRIVATE LIMITED,current transformer,"Australia, India"
Technovision Enterprises,transformer,"Australia, India"
KUDAMM CORPORATION,smart controller,Global Certification
IGUS INDIA PRIVATE LIMITED,limit switch,"Europe, Asia"
Diagnostic Automation & Controls Pvt. Ltd.,machine vision camera,"US, Canada, Europe"
EVOKE GLOBAL,proximity switch,"Australia, India"
Kinco ElectricShenzhenLtd.,brush motor,"Europe, Asia"
SECURITAS ENGINEERS,robotic gripper,"Australia, India"
FESTO INDIA PRIVATE LIMITED,servo amplifier,Global Certification
BHL POWER SYSTEM PVT LTD,switch,"Australia, India"
ASTronics Technology (I) Pvt Ltd,relay,"Australia, India"
SEW EURODRIVE INDIA P LTD,smart controller,"US, Canada, Europe"
RITTAL PRIVATE LIMITED,PLC,"Europe, Asia"
TAC Automation Pvt.Ltd- UP,power supply,"Australia, India"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",gear motor,"Europe, Asia"
EVOKE GLOBAL,brush motor,"US, Canada, Europe"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,pressure sensor,"Europe, Asia"
RD ENERGY SOLUTIONS,transformer,"Europe, Asia"
KUDAMM CORPORATION,switch,"US, Canada, Europe"
TAC Automation Pvt.Ltd- UP,machine vision camera,Global Certification
Diagnostic Automation & Controls Pvt. Ltd.,current transformer,"US, Canada, Europe"
SHREE SAI SOLUTIONS,relay,"Australia, India"
RITTAL PRIVATE LIMITED,VFD drive,Global Certification
Digi-Key Electronics.,temperature sensor,Global Certification
Praja Controls & Systems Pvt Ltd,power cable,Global Certification
MEERA ENTERPRISES,limit switch,"Europe, Asia"
Praja Controls & Systems Pvt Ltd,safety light curtain,Global Certification
FESTO INDIA PRIVATE LIMITED,encoder,Global Certification
TAC Automation Pvt.Ltd- UP,camera module,Global Certification
Diagnostic Automation & Controls Pvt. Ltd.,temperature controller,"Australia, India"
FESTO INDIA PRIVATE LIMITED,HMI panel,Global Certification
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,gear motor,Global Certification
NETWORK ELECTRONICS,servo amplifier,"Australia, India"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",servo amplifier,"Europe, Asia"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,voltage regulator,Global Certification
SECURITAS ENGINEERS,capacitive sensor,"Australia, India"
NETWORK ELECTRONICS,safety light curtain,"US, Canada, Europe"
Pepperl+Fuchs Factory Automation Pvt. Ltd,pressure sensor,"US, Canada, Europe"
Leuze Electronics Pvt. Ltd.,solenoid valve,"US, Canada, Europe"
SUGI ELECTRONICS LLP,solenoid valve,Global Certification
Technovision Enterprises,PLC,"Europe, Asia"
MEERA ENTERPRISES,encoder,Global Certification
Onyx Equipments  (India) Pvt. Ltd.,brush motor,"Europe, Asia"
NETWORK ELECTRONICS,power supply,"US, Canada, Europe"
Onyx Equipments  (India) Pvt. Ltd.,gear motor,"US, Canada, Europe"
COGNEX IRELAND LTD,DC motor,"Europe, Asia"
RAJPRIYA INSTRUMENTS & CONTROLS,brush motor,Global Certification
Technovision Enterprises,temperature sensor,"Australia, India"
NETWORK ELECTRONICS,linear actuator,"US, Canada, Europe"
Praja Controls & Systems Pvt Ltd,light sensor,"Australia, India"
KUDAMM CORPORATION,industrial camera,"Europe, Asia"
"ITOH DENKI CO., LTD.",HMI panel,"Europe, Asia"
Leuze Electronics Pvt. Ltd.,control cable,"US, Canada, Europe"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,industrial camera,Global Certification
IGUS INDIA PRIVATE LIMITED,pneumatic actuator,"Australia, India"
"ITOH DENKI CO., LTD.",power cable,"US, Canada, Europe"
MEERA ENTERPRISES,brushless motor,"Australia, India"
SUGI ELECTRONICS LLP,power cable,"US, Canada, Europe"
SICK INDIA Pvt. Ltd.,servo motor,"Europe, Asia"
RITTAL INDIA PRIVATE LIMITED,stepper controller,Global Certification
SICK INDIA Pvt. Ltd.,HMI panel,"US, Canada, Europe"
BHL POWER SYSTEM PVT LTD,safety light curtain,Global Certification
ASTronics Technology (I) Pvt Ltd,smart controller,"Europe, Asia"
Digi-Key Electronics.,encoder,"US, Canada, Europe"
MKSK OFFICE SOLUTIONS LLP,VFD drive,"US, Canada, Europe"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,inductive sensor,Global Certification
SECURITAS ENGINEERS,thermal relay,"Europe, Asia"
"ITOH DENKI CO., LTD.",robotics arm,Global Certification
iTG Software Engineering (I) Pvt. Ltd,HMI panel,"Europe, Asia"
IGUS INDIA PRIVATE LIMITED,capacitive sensor,"Europe, Asia"
Leuze Electronics Pvt. Ltd.,robotics arm,"Australia, India"
iTG Software Engineering (I) Pvt. Ltd,pneumatic actuator,Global Certification
KUDAMM CORPORATION,circuit breaker,"US, Canada, Europe"
SM Electronic Technologies Pvt. Ltd,control cable,Global Certification
SD ELECTRICAL,current transformer,"Australia, India"
SD ELECTRICAL,data logger,"US, Canada, Europe"
SICK INDIA Pvt. Ltd.,thermal relay,"Europe, Asia"
NETWORK ELECTRONICS,hydraulic actuator,"Europe, Asia"
BHL POWER SYSTEM PVT LTD,light sensor,"US, Canada, Europe"
CONDUCTIX-WAMPFLER INDIA PVT LTD,pressure sensor,Global Certification
RAJPRIYA INSTRUMENTS & CONTROLS,robotics arm,"US, Canada, Europe"
Onyx Equipments  (India) Pvt. Ltd.,current transformer,"Australia, India"
CONDUCTIX-WAMPFLER INDIA PVT LTD,robotics arm,"US, Canada, Europe"
IGUS INDIA PRIVATE LIMITED,machine vision camera,"US, Canada, Europe"
SM Electronic Technologies Pvt. Ltd,proximity switch,Global Certification
Praja Controls & Systems Pvt Ltd,camera module,"Australia, India"
SD ELECTRICAL,DC motor,Global Certification
Leuze Electronics Pvt. Ltd.,camera module,"US, Canada, Europe"
KINCO SCIENTIFIC LIMITED,circuit breaker,"Europe, Asia"
Technovision Enterprises,light sensor,"US, Canada, Europe"
Diagnostic Automation & Controls Pvt. Ltd.,control cable,"Australia, India"
EVOKE GLOBAL,power cable,Global Certification
SM Electronic Technologies Pvt. Ltd,brushless motor,"US, Canada, Europe"
Leuze Electronics Pvt. Ltd.,circuit breaker,"US, Canada, Europe"
Praja Controls & Systems Pvt Ltd,pressure sensor,"US, Canada, Europe"
NETWORK ELECTRONICS,thermal relay,"Europe, Asia"
SEW EURODRIVE INDIA P LTD,frequency inverter,"Australia, India"
Digi-Key Electronics.,IO module,"US, Canada, Europe"
IGUS INDIA PRIVATE LIMITED,servo motor,"Europe, Asia"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,relay,Global Certification
iTG Software Engineering (I) Pvt. Ltd,limit switch,"Australia, India"
Technovision Enterprises,capacitive sensor,Global Certification
MKSK OFFICE SOLUTIONS LLP,limit switch,"US, Canada, Europe"
RITTAL PRIVATE LIMITED,power cable,Global Certification
"ITOH DENKI CO., LTD.",DC motor,Global Certification
MEERA ENTERPRISES,frequency inverter,Global Certification
Diagnostic Automation & Controls Pvt. Ltd.,pressure sensor,Global Certification
RD ENERGY SOLUTIONS,switch,"Europe, Asia"
RD ENERGY SOLUTIONS,proximity switch,"Europe, Asia"
NETWORK ELECTRONICS,data logger,"US, Canada, Europe"
Digi-Key Electronics.,voltage regulator,"US, Canada, Europe"
ASTronics Technology (I) Pvt Ltd,power supply,"Europe, Asia"
FESTO INDIA PRIVATE LIMITED,load cell,"US, Canada, Europe"
NETWORK ELECTRONICS,actuator,"Australia, India"
MEERA ENTERPRISES,current transformer,Global Certification
KUDAMM CORPORATION,servo motor,Global Certification
SM Electronic Technologies Pvt. Ltd,pneumatic actuator,Global Certification
SICK INDIA Pvt. Ltd.,machine vision camera,"Europe, Asia"
iTG Software Engineering (I) Pvt. Ltd,capacitive sensor,"US, Canada, Europe"
COGNEX IRELAND LTD,actuator,Global Certification
Kinco ElectricShenzhenLtd.,proximity switch,"US, Canada, Europe"
KINCO SCIENTIFIC LIMITED,capacitive sensor,"Australia, India"
RAJPRIYA INSTRUMENTS & CONTROLS,stepper motor,"Europe, Asia"
SUGI ELECTRONICS LLP,camera module,"Australia, India"
SHREE SAI SOLUTIONS,pressure sensor,"Australia, India"
EVOKE GLOBAL,temperature controller,"US, Canada, Europe"
PHOENIX CONTACT INDIA PVT LTD,robotic gripper,"Europe, Asia"
Onyx Equipments  (India) Pvt. Ltd.,IO module,"Europe, Asia"
SM Electronic Technologies Pvt. Ltd,power supply,Global Certification
Pepperl+Fuchs Factory Automation Pvt. Ltd,actuator,"US, Canada, Europe"
SUGI ELECTRONICS LLP,circuit breaker,Global Certification
COGNEX IRELAND LTD,circuit breaker,"Europe, Asia"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",relay,"Australia, India"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,DC motor,"US, Canada, Europe"
KUDAMM CORPORATION,inductive sensor,"Europe, Asia"
ASTronics Technology (I) Pvt Ltd,IO module,"US, Canada, Europe"
IGUS INDIA PRIVATE LIMITED,brushless motor,"US, Canada, Europe"
PHOENIX CONTACT INDIA PVT LTD,current transformer,"Europe, Asia"
FINE TECH CONTROLS PRIVATE LIMITED,data logger,Global Certification
Technovision Enterprises,control cable,"Europe, Asia"
FESTO INDIA PRIVATE LIMITED,linear actuator,"US, Canada, Europe"
ASTronics Technology (I) Pvt Ltd,voltage regulator,"US, Canada, Europe"
Leuze Electronics Pvt. Ltd.,safety light curtain,"Australia, India"
SECURITAS ENGINEERS,relay,"Australia, India"
BHL POWER SYSTEM PVT LTD,actuator,Global Certification
COGNEX IRELAND LTD,load cell,"Australia, India"
SICK INDIA Pvt. Ltd.,encoder,"Australia, India"
FINE TECH CONTROLS PRIVATE LIMITED,stepper controller,Global Certification
"SHANGHAI QUISURE INFO-TECH CO.,LTD",light sensor,"Australia, India"
Pepperl+Fuchs Factory Automation Pvt. Ltd,pneumatic actuator,Global Certification
CONDUCTIX-WAMPFLER INDIA PVT LTD,encoder,"Europe, Asia"
COGNEX IRELAND LTD,limit switch,"Europe, Asia"
Digi-Key Electronics.,PLC,Global Certification
SICK INDIA Pvt. Ltd.,temperature controller,"Australia, India"
SUGI ELECTRONICS LLP,light sensor,Global Certification
SUGI ELECTRONICS LLP,gear motor,"Australia, India"
CONDUCTIX-WAMPFLER INDIA PVT LTD,stepper controller,"Australia, India"
RAJPRIYA INSTRUMENTS & CONTROLS,limit switch,Global Certification
NETWORK ELECTRONICS,servo motor,"US, Canada, Europe"
MKSK OFFICE SOLUTIONS LLP,data logger,"US, Canada, Europe"
PHOENIX CONTACT INDIA PVT LTD,stepper motor,"Australia, India"
RITTAL INDIA PRIVATE LIMITED,DC motor,"US, Canada, Europe"
SICK INDIA Pvt. Ltd.,linear actuator,"Europe, Asia"
PHOENIX CONTACT INDIA PVT LTD,linear actuator,"Australia, India"
"ITOH DENKI CO., LTD.",robotic gripper,Global Certification
SEW EURODRIVE INDIA P LTD,inductive sensor,Global Certification
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,safety light curtain,"US, Canada, Europe"
SEW EURODRIVE INDIA P LTD,hydraulic actuator,"Australia, India"
IGUS INDIA PRIVATE LIMITED,proximity switch,"Europe, Asia"
NETWORK ELECTRONICS,contact sensor,Global Certification
"ITOH DENKI CO., LTD.",camera module,"Europe, Asia"
NETWORK ELECTRONICS,temperature controller,"Australia, India"
Pepperl+Fuchs Factory Automation Pvt. Ltd,light sensor,"Europe, Asia"
"ITOH DENKI CO., LTD.",inductive sensor,Global Certification
Digi-Key Electronics.,power cable,"Europe, Asia"
SEW EURODRIVE INDIA P LTD,IO module,"Europe, Asia"
Onyx Equipments  (India) Pvt. Ltd.,transformer,Global Certification
Kinco ElectricShenzhenLtd.,servo amplifier,"Europe, Asia"
"ITOH DENKI CO., LTD.",IO module,"Europe, Asia"
COGNEX IRELAND LTD,pressure sensor,"US, Canada, Europe"
Digi-Key Electronics.,circuit breaker,"US, Canada, Europe"
TAC Automation Pvt.Ltd- UP,brush motor,"Australia, India"
RAJPRIYA INSTRUMENTS & CONTROLS,industrial camera,Global Certification
KUDAMM CORPORATION,brushless motor,"US, Canada, Europe"
NETWORK ELECTRONICS,limit switch,Global Certification
KINCO SCIENTIFIC LIMITED,infrared camera,"Australia, India"
FESTO INDIA PRIVATE LIMITED,light sensor,"Australia, India"
RITTAL PRIVATE LIMITED,DC motor,Global Certification
RITTAL PRIVATE LIMITED,servo amplifier,"US, Canada, Europe"
RD ENERGY SOLUTIONS,machine vision camera,"Australia, India"
Diagnostic Automation & Controls Pvt. Ltd.,linear actuator,"Australia, India"
CONDUCTIX-WAMPFLER INDIA PVT LTD,smart controller,Global Certification
SICK INDIA Pvt. Ltd.,capacitive sensor,Global Certification
FESTO INDIA PRIVATE LIMITED,capacitive sensor,"Europe, Asia"
IGUS INDIA PRIVATE LIMITED,IO module,"Europe, Asia"
FINE TECH CONTROLS PRIVATE LIMITED,encoder,"US, Canada, Europe"
COGNEX IRELAND LTD,current transformer,"Europe, Asia"
RITTAL INDIA PRIVATE LIMITED,gear motor,"US, Canada, Europe"
RAJPRIYA INSTRUMENTS & CONTROLS,servo amplifier,"US, Canada, Europe"
"ITOH DENKI CO., LTD.",proximity switch,"Europe, Asia"
TAC Automation Pvt.Ltd- UP,industrial camera,Global Certification
BHL POWER SYSTEM PVT LTD,encoder,"Australia, India"
FESTO INDIA PRIVATE LIMITED,gear motor,"Australia, India"
Leuze Electronics Pvt. Ltd.,data logger,"Europe, Asia"
SUGI ELECTRONICS LLP,servo amplifier,"Australia, India"
"ITOH DENKI CO., LTD.",current transformer,"Europe, Asia"
IGUS INDIA PRIVATE LIMITED,data logger,"Europe, Asia"
iTG Software Engineering (I) Pvt. Ltd,smart controller,Global Certification
SHREE SAI SOLUTIONS,servo motor,"Europe, Asia"
Kinco ElectricShenzhenLtd.,transformer,"Europe, Asia"
RITTAL INDIA PRIVATE LIMITED,temperature controller,"US, Canada, Europe"
NETWORK ELECTRONICS,capacitive sensor,"Australia, India"
SECURITAS ENGINEERS,camera module,Global Certification
Diagnostic Automation & Controls Pvt. Ltd.,transformer,Global Certification
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,capacitive sensor,"Europe, Asia"
Digi-Key Electronics.,light sensor,"US, Canada, Europe"
SECURITAS ENGINEERS,temperature controller,"US, Canada, Europe"
CONDUCTIX-WAMPFLER INDIA PVT LTD,relay,"Australia, India"
Onyx Equipments  (India) Pvt. Ltd.,hydraulic actuator,Global Certification
"ITOH DENKI CO., LTD.",thermal relay,"US, Canada, Europe"
SD ELECTRICAL,robotics arm,"US, Canada, Europe"
MEERA ENTERPRISES,stepper controller,Global Certification
SICK INDIA Pvt. Ltd.,PLC,Global Certification
iTG Software Engineering (I) Pvt. Ltd,current transformer,"US, Canada, Europe"
BHL POWER SYSTEM PVT LTD,robotic gripper,Global Certification
IGUS INDIA PRIVATE LIMITED,temperature controller,Global Certification
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,brushless motor,"Australia, India"
SM Electronic Technologies Pvt. Ltd,light sensor,"Australia, India"
Kinco ElectricShenzhenLtd.,frequency inverter,"US, Canada, Europe"
MEERA ENTERPRISES,brush motor,"Australia, India"
FINE TECH CONTROLS PRIVATE LIMITED,solenoid valve,"Australia, India"
SICK INDIA Pvt. Ltd.,data logger,Global Certification
RITTAL INDIA PRIVATE LIMITED,light sensor,"Australia, India"
RAJPRIYA INSTRUMENTS & CONTROLS,PLC,Global Certification
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,infrared camera,"Europe, Asia"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",encoder,"Australia, India"
ASTronics Technology (I) Pvt Ltd,load cell,"Europe, Asia"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,power supply,"US, Canada, Europe"
CONDUCTIX-WAMPFLER INDIA PVT LTD,data logger,"Australia, India"
Social Sea India Pvt Ltd,light sensor,Global Certification
iTG Software Engineering (I) Pvt. Ltd,inductive sensor,Global Certification
PHOENIX CONTACT INDIA PVT LTD,servo motor,Global Certification
iTG Software Engineering (I) Pvt. Ltd,relay,"Europe, Asia"
Praja Controls & Systems Pvt Ltd,control cable,Global Certification
FESTO INDIA PRIVATE LIMITED,inductive sensor,"US, Canada, Europe"
CONDUCTIX-WAMPFLER INDIA PVT LTD,safety light curtain,"US, Canada, Europe"
NETWORK ELECTRONICS,robotic gripper,Global Certification
RITTAL INDIA PRIVATE LIMITED,robotics arm,"US, Canada, Europe"
MEERA ENTERPRISES,thermal relay,"Australia, India"
RD ENERGY SOLUTIONS,circuit breaker,"Australia, India"
iTG Software Engineering (I) Pvt. Ltd,brushless motor,"Europe, Asia"
SECURITAS ENGINEERS,current transformer,"US, Canada, Europe"
SECURITAS ENGINEERS,hydraulic actuator,"US, Canada, Europe"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",DC motor,"Australia, India"
Leuze Electronics Pvt. Ltd.,thermal relay,"Europe, Asia"
SICK INDIA Pvt. Ltd.,AC motor,"US, Canada, Europe"
MKSK OFFICE SOLUTIONS LLP,safety light curtain,"US, Canada, Europe"
KINCO SCIENTIFIC LIMITED,frequency inverter,"Australia, India"
FINE TECH CONTROLS PRIVATE LIMITED,infrared camera,"US, Canada, Europe"
Onyx Equipments  (India) Pvt. Ltd.,power cable,Global Certification
FESTO INDIA PRIVATE LIMITED,infrared camera,Global Certification
PHOENIX CONTACT INDIA PVT LTD,inductive sensor,"US, Canada, Europe"
RITTAL PRIVATE LIMITED,hydraulic actuator,"Europe, Asia"
IGUS INDIA PRIVATE LIMITED,voltage regulator,Global Certification
PHOENIX CONTACT INDIA PVT LTD,load cell,"US, Canada, Europe"
BHL POWER SYSTEM PVT LTD,hydraulic actuator,Global Certification
TAC Automation Pvt.Ltd- UP,thermal relay,"Australia, India"
Pepperl+Fuchs Factory Automation Pvt. Ltd,brushless motor,"US, Canada, Europe"
RITTAL PRIVATE LIMITED,industrial camera,"US, Canada, Europe"
RD ENERGY SOLUTIONS,temperature controller,"Europe, Asia"
TAC Automation Pvt.Ltd- UP,pneumatic actuator,"Europe, Asia"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,inductive sensor,"US, Canada, Europe"
SECURITAS ENGINEERS,AC motor,Global Certification
BHL POWER SYSTEM PVT LTD,contact sensor,"Europe, Asia"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,IO module,"Australia, India"
FINE TECH CONTROLS PRIVATE LIMITED,light sensor,"Australia, India"
KUDAMM CORPORATION,machine vision camera,"Australia, India"
Diagnostic Automation & Controls Pvt. Ltd.,solenoid valve,"Australia, India"
TAC Automation Pvt.Ltd- UP,infrared camera,"US, Canada, Europe"
Digi-Key Electronics.,current transformer,"Europe, Asia"
RITTAL PRIVATE LIMITED,transformer,"US, Canada, Europe"
Kinco ElectricShenzhenLtd.,robotic gripper,"Australia, India"
COGNEX IRELAND LTD,transformer,Global Certification
PHOENIX CONTACT INDIA PVT LTD,frequency inverter,"US, Canada, Europe"
Social Sea India Pvt Ltd,pressure sensor,"Europe, Asia"
Digi-Key Electronics.,gear motor,"US, Canada, Europe"
Technovision Enterprises,pressure sensor,"US, Canada, Europe"
Digi-Key Electronics.,actuator,"Europe, Asia"
Technovision Enterprises,VFD drive,"Australia, India"
FESTO INDIA PRIVATE LIMITED,robotic gripper,"Australia, India"
RITTAL PRIVATE LIMITED,servo motor,Global Certification
TAC Automation Pvt.Ltd- UP,light sensor,Global Certification
"ITOH DENKI CO., LTD.",smart controller,"Australia, India"
SD ELECTRICAL,infrared camera,"Australia, India"
EVOKE GLOBAL,control cable,Global Certification
SECURITAS ENGINEERS,safety light curtain,"Europe, Asia"
iTG Software Engineering (I) Pvt. Ltd,load cell,Global Certification
COGNEX IRELAND LTD,AC motor,Global Certification
KUDAMM CORPORATION,voltage regulator,"Europe, Asia"
KINCO SCIENTIFIC LIMITED,hydraulic actuator,"Australia, India"
Digi-Key Electronics.,pressure sensor,Global Certification
FESTO INDIA PRIVATE LIMITED,IO module,"Europe, Asia"
RD ENERGY SOLUTIONS,infrared camera,"Europe, Asia"
NETWORK ELECTRONICS,brushless motor,"Europe, Asia"
FINE TECH CONTROLS PRIVATE LIMITED,smart controller,"Europe, Asia"
COGNEX IRELAND LTD,servo amplifier,"Australia, India"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,proximity switch,"US, Canada, Europe"
Onyx Equipments  (India) Pvt. Ltd.,stepper motor,"Australia, India"
MEERA ENTERPRISES,data logger,"Europe, Asia"
RITTAL PRIVATE LIMITED,current transformer,"US, Canada, Europe"
RD ENERGY SOLUTIONS,solenoid valve,"Australia, India"
BHL POWER SYSTEM PVT LTD,frequency inverter,Global Certification
FESTO INDIA PRIVATE LIMITED,frequency inverter,"Australia, India"
BHL POWER SYSTEM PVT LTD,load cell,"US, Canada, Europe"
RAJPRIYA INSTRUMENTS & CONTROLS,HMI panel,Global Certification
Kinco ElectricShenzhenLtd.,industrial camera,"Europe, Asia"
Praja Controls & Systems Pvt Ltd,temperature controller,Global Certification
CONDUCTIX-WAMPFLER INDIA PVT LTD,servo motor,Global Certification
Kinco ElectricShenzhenLtd.,stepper motor,"Australia, India"
Diagnostic Automation & Controls Pvt. Ltd.,contact sensor,"Australia, India"
Digi-Key Electronics.,camera module,"US, Canada, Europe"
Technovision Enterprises,proximity switch,"US, Canada, Europe"
